날짜,고객사 ID,고객사명,고객사 그룹,제휴점 ID,제휴점명,제휴점 그룹,제휴점 유형,정산단위,수수료율,혼자결제,함께결제,정상거래,취소거래,관리자입력,거래 통계 합계,주문 수,고유 사용자 수,판매가격,식대/복지 포인트,포인트 단위,대장포인트,대장쿠폰,간편결제,포인트 사용 합계,고객사 청구 금액,제휴점 정산 금액,제휴점 수수료 금액,거래액,배송비,고객사 시/도,고객사 시/군/구,고객사 동/면,제휴점 시/도,제휴점 시/군/구,제휴점 동/면
2020-01-01,426EC96E-69FE-4DB1-A38C-0E8685178C2E,재단법인 여의도연구원,미설정(기본그룹),,,,방문/전화배달 제휴식당,,,3,0,3,0,0,3,3,3,61100,61100,원,0,0,0,61100,61100,60354,746,61100,0,서울특별시,영등포구,영등포동7가,,,
2020-01-01,00EE8441-62BF-40D7-AB37-64280D456132,대명인터내셔널 삼성지점(x),대명소노,,,,배달식사,,,3,0,0,0,3,3,3,1,3012000,3012000,원,0,0,0,3012000,3012000,2831280,180720,3012000,0,서울특별시,강남구,삼성동,,,
2020-01-01,29226F2F-8606-491C-9033-DE9D2DC2AC21,버핏서울,미설정(기본그룹),,,,POS(KFC),,,1,0,1,0,0,1,1,1,8000,8000,원,0,0,0,8000,8000,7736,264,8000,0,서울특별시,강남구,역삼동,,,
2020-01-01,B068366F-5EB8-1C7E-E79C-D438C8E32F9D,현대벤디스,현대벤디스,,,,전화배달 제휴식당,,,2,0,2,0,0,2,2,1,70000,70000,원,0,0,0,70000,70000,67900,2100,70000,0,서울특별시,강남구,삼성동,,,
2020-01-01,4BBD183F-0843-5EB8-3443-6DD440EC4E23,아시아나항공,해지,,,,방문 제휴식당,,,28161,3075,31123,90,23,31236,29300,6282,286007400,60606,장,0,0,0,60606,286007400,286007400,0,286007400,0,서울특별시,강서구,오쇠동,,,
2020-01-01,6159BB0C-08F1-53DF-ACDE-A3DCC61F003C,한미헬스케어(x),한미약품,,,,방문/전화배달 제휴식당,,,17,430,442,5,0,447,112,143,2620600,2620600,원,0,0,0,2620600,2620600,2552514,68086,2620600,0,서울특별시,송파구,방이동,,,
2020-01-01,A09A8412-49B0-3CC5-B3B7-731EDFE6BFCD,에어부산(안전운항팀),금호아시아나,,,,구내식당,,,411,0,411,0,0,411,411,107,1643000,411,장,0,0,0,411,1643000,1643000,0,1643000,0,부산광역시,강서구,대저2동,,,
2020-01-01,255EE2AF-3BED-084D-76E2-F4BCC6DB843A,한화시스템,한화,,,,방문 제휴식당,,,2197,546,2740,3,0,2743,2347,406,22958930,22789230,원,169700,0,0,22958930,22789230,22351069,607861,22958930,0,경기도,성남시 분당구,삼평동,,,
2020-01-01,4BBD183F-0843-5EB8-3443-6DD440EC4E23,아시아나항공,해지,,,,방문/전화배달 제휴식당,,,163,303,466,0,0,466,239,302,6624000,1389,장,0,0,0,1389,6624000,6624000,0,6624000,0,서울특별시,강서구,오쇠동,,,
2020-01-01,9EABBE3F-3A45-4B95-B9B6-DD37A3A7B82D,바스,공항,,,,방문/전화배달 제휴식당,,,22,23,45,0,0,45,26,37,310500,69,장,0,0,0,69,310500,310500,0,310500,0,부산광역시,강서구,대저2동,,,
